Attrition_Flag,Customer_Age,Dependent_count,Months_Inactive_12_mon,Total_Trans_Amt,Education_Level
0,60,1,2,4183,High School
0,48,4,1,3843,Graduate
1,40,3,2,781,Graduate
0,34,1,6,4314,Graduate
0,32,1,2,2439,High School
0,50,1,2,4006,Uneducated
1,49,1,3,9524,Graduate
0,60,1,5,14954,High School
0,47,3,1,3912,Graduate
0,37,2,1,3462,Unknown
0,37,2,3,2298,Graduate
0,64,0,2,1439,Doctorate
0,41,3,3,4410,High School
0,53,2,2,5070,Graduate
1,26,0,2,947,Uneducated
0,48,4,3,4751,Uneducated
0,47,2,2,4892,High School
0,34,1,1,4159,Graduate
0,36,1,1,3030,Uneducated
0,45,3,6,4878,Doctorate
0,39,3,3,3955,Uneducated
0,50,1,2,1298,Graduate
0,41,3,1,13209,High School
0,44,3,1,4400,Unknown
0,38,2,2,3990,High School
0,56,2,3,13945,High School
0,37,2,3,2735,Uneducated
0,36,3,2,2511,Graduate
1,63,1,4,2083,Graduate
0,52,1,1,4697,Graduate
0,48,4,1,3291,Graduate
0,43,3,3,4424,Post-Graduate
0,55,3,2,2354,Unknown
0,36,2,1,4644,Uneducated
0,42,4,2,3574,High School
0,49,4,2,4792,Unknown
0,38,3,1,2234,Unknown
0,50,3,2,2909,College
1,44,3,3,2223,Graduate
0,41,2,3,7685,Graduate
0,34,1,1,4110,Uneducated
0,43,2,3,4874,Graduate
0,43,4,1,1400,Uneducated
1,39,3,3,2476,College
0,55,1,1,4291,Unknown
0,57,3,1,5405,College
0,51,0,2,3722,High School
0,46,2,1,3749,Unknown
1,49,3,3,2239,Graduate
0,46,4,2,4384,Unknown
0,49,3,2,4345,Unknown
0,42,2,1,4496,Graduate
0,43,1,2,1229,High School
0,41,4,1,15033,Unknown
0,38,4,1,1445,High School
0,28,1,3,14054,Post-Graduate
0,65,1,2,1463,Graduate
0,32,0,3,3975,College
0,51,2,3,1678,Graduate
0,59,0,2,1335,High School
1,53,2,3,2836,College
1,61,1,1,4041,Graduate
0,56,3,3,1373,High School
0,49,2,2,4253,High School
0,49,2,1,1803,Post-Graduate
0,46,3,3,3967,Unknown
0,44,1,3,4268,Graduate
0,46,1,3,4858,High School
0,38,0,4,2143,Graduate
0,48,1,3,5006,College
0,55,1,3,4528,Graduate
0,32,0,3,2657,Graduate
0,48,2,2,4240,High School
0,50,1,2,8503,Graduate
0,56,1,4,5285,Graduate
0,55,2,3,1421,High School
0,48,5,3,4407,Graduate
0,40,2,4,3879,High School
0,50,3,3,2004,Graduate
0,45,3,2,4542,Uneducated
1,48,4,3,2132,Unknown
0,50,2,2,15476,Graduate
0,41,2,2,3533,High School
0,45,2,3,4437,Doctorate
0,41,3,1,4086,High School
0,47,3,2,8526,Graduate
0,37,2,1,4490,Unknown
1,34,3,2,2703,High School
0,48,2,3,3850,High School
0,45,3,3,8113,Graduate
0,43,2,2,4262,Graduate
0,49,3,2,3748,Unknown
1,59,0,4,687,High School
0,50,0,2,4651,Uneducated
0,49,4,2,17350,Post-Graduate
1,55,3,5,8918,Uneducated
0,47,4,2,1747,Uneducated
0,62,1,1,3975,Unknown
0,36,2,2,2576,Post-Graduate
0,54,3,2,1881,Doctorate
0,43,2,1,4476,High School
0,55,2,2,2058,Post-Graduate
1,37,2,3,2729,Graduate
0,52,1,3,4598,College
0,55,2,2,5175,Unknown
0,34,1,1,5293,High School
0,39,5,2,5205,Graduate
0,37,2,1,5032,Unknown
0,51,4,2,14149,College
0,38,0,3,16736,High School
0,42,4,4,4220,Uneducated
0,48,2,2,9105,Uneducated
0,52,2,2,4737,College
0,50,3,3,3862,Unknown
0,48,3,1,1642,Unknown
0,56,1,1,4723,Graduate
0,50,3,3,4442,High School
0,48,1,3,4117,Doctorate
0,65,1,2,3432,Graduate
0,43,3,1,1996,High School
0,42,4,3,4493,Graduate
1,39,2,2,4691,Graduate
1,50,4,3,2281,Graduate
1,53,4,3,1830,Uneducated
0,55,1,3,2425,Unknown
0,41,4,3,3769,Graduate
0,45,3,2,4133,High School
0,50,1,3,4916,College
0,43,3,2,4430,Graduate
1,43,5,2,2742,High School
0,59,1,3,1068,Graduate
0,53,3,3,1836,Graduate
0,46,2,1,14567,Graduate
0,50,2,3,4773,High School
0,45,3,3,4293,Graduate
0,53,3,2,4270,Doctorate
0,44,5,1,4076,Doctorate
0,52,3,2,4776,Doctorate
1,37,3,1,8667,Graduate
0,48,3,4,4220,Unknown
0,36,1,1,2661,Uneducated
1,58,1,3,1712,Graduate
0,31,0,2,2726,High School
1,61,0,4,3119,College
0,40,3,3,4429,Unknown
1,47,3,3,1887,Unknown
0,31,2,2,15645,Graduate
0,45,3,1,4129,High School
0,29,1,3,14912,Uneducated
1,39,3,2,2338,Unknown
0,52,1,4,4812,Graduate
0,41,2,5,4565,College
1,57,1,3,8463,Post-Graduate
0,56,2,1,1302,High School
1,44,2,2,1848,Graduate
0,39,3,3,1362,Graduate
0,55,2,1,7855,Unknown
0,43,2,1,4437,Uneducated
0,48,5,1,3584,Unknown
0,54,5,1,1114,Graduate
0,42,3,1,3449,Uneducated
0,55,2,1,4455,High School
0,50,2,2,3974,Unknown
0,42,3,2,4384,Unknown
1,53,3,3,2312,High School
0,47,3,1,4465,Graduate
0,42,2,2,8657,Graduate
0,47,4,3,5201,High School
0,35,3,2,1792,Uneducated
0,41,2,1,3978,Graduate
0,34,1,3,2327,Graduate
0,51,3,3,4281,High School
0,50,4,1,1559,Unknown
0,49,1,3,3941,Graduate
1,41,2,2,2063,Graduate
0,42,3,1,4452,Post-Graduate
0,49,1,2,7693,High School
0,45,2,3,3282,Graduate
0,53,2,3,1380,Graduate
0,40,3,2,4391,Unknown
0,43,3,3,3391,High School
0,45,3,2,7905,High School
0,49,3,3,4765,College
0,42,2,2,4437,Unknown
0,37,3,2,1567,Graduate
0,33,1,1,2273,Post-Graduate
0,59,0,3,4576,Graduate
0,45,3,5,4659,Graduate
0,41,2,2,4077,College
0,55,4,2,8765,Graduate
0,38,2,3,1872,Post-Graduate
1,60,0,4,8169,College
0,47,4,3,3684,Unknown
0,58,4,2,2950,Uneducated
0,49,4,3,15872,High School
0,50,3,1,14474,Graduate
0,49,3,2,4372,Graduate
0,32,1,3,13783,Graduate
0,47,3,2,3929,Uneducated
0,35,0,3,5211,Unknown
0,57,2,3,5109,Graduate
0,36,1,3,2454,Graduate
0,44,2,3,4263,High School
0,59,0,2,4319,Unknown
0,31,0,2,3059,College
0,52,2,3,4700,College
0,49,4,1,7495,College
0,55,0,3,4226,Unknown
1,59,2,3,2462,Uneducated
0,61,0,2,2073,Unknown
0,50,3,3,8693,High School
0,56,1,1,1205,Unknown
0,40,3,1,4033,Uneducated
0,31,0,2,4358,Graduate
0,36,4,3,2056,Uneducated
0,49,4,2,4408,High School
0,34,1,1,2042,High School
0,43,4,3,3639,Graduate
0,39,1,1,4412,Graduate
0,49,4,2,3585,Post-Graduate
1,54,4,3,7667,Graduate
0,48,1,3,4041,Graduate
0,39,3,2,4342,Uneducated
0,51,1,2,4505,Unknown
0,45,3,2,14023,Graduate
0,39,2,1,4544,Graduate
0,52,2,3,1531,Graduate
0,40,3,3,9523,Graduate
0,65,2,3,4205,Doctorate
0,43,3,2,4066,Graduate
0,43,3,3,3161,High School
1,45,5,4,2753,Unknown
0,37,2,2,16606,Graduate
0,50,2,2,4232,Graduate
0,40,3,3,4332,High School
0,58,1,2,4722,Post-Graduate
1,37,3,3,694,College
0,42,1,3,4511,Graduate
0,35,0,2,2483,Doctorate
0,52,1,1,4875,Doctorate
0,28,0,1,17064,Uneducated
0,52,1,2,4017,Uneducated
1,50,1,2,1149,Unknown
0,38,3,2,4593,Graduate
0,38,2,3,5154,Graduate
0,51,1,1,1976,Unknown
0,54,2,2,1377,Graduate
0,52,4,3,4643,College
0,39,3,2,4121,Uneducated
1,30,0,2,8642,College
0,44,2,1,3144,Unknown
0,51,3,3,4182,College
0,47,2,6,7823,Graduate
0,46,2,3,4821,Unknown
0,42,3,1,4869,Uneducated
0,46,2,3,4249,Graduate
0,40,4,3,5196,Graduate
0,49,3,3,4041,Uneducated
0,36,1,2,4024,Doctorate
0,49,5,2,2223,Graduate
0,54,0,3,1503,Unknown
0,39,2,3,2398,College
1,32,1,2,7844,Graduate
0,46,3,1,4444,College
0,41,1,2,1734,Uneducated
0,39,2,1,15467,High School
0,41,4,1,3668,Graduate
0,44,2,3,5357,High School
1,60,0,1,2829,Unknown
1,32,0,3,2479,Unknown
0,39,1,2,2006,High School
0,28,0,3,2744,High School
0,50,4,1,15427,Graduate
0,51,3,3,4609,Uneducated
0,53,1,3,14074,Unknown
0,45,3,3,4123,Graduate
0,53,1,2,4116,Graduate
0,44,4,1,3024,Graduate
0,38,2,1,1388,Unknown
0,38,1,3,5389,Uneducated
0,35,1,3,2794,High School
0,44,4,2,4247,Uneducated
0,38,2,1,3812,College
1,55,1,3,2954,Unknown
1,50,2,2,1474,High School
0,56,1,1,1608,Uneducated
0,46,3,1,3215,Uneducated
0,36,1,3,4636,High School
0,42,4,1,1534,High School
1,33,2,2,2077,Uneducated
1,48,1,2,4890,Post-Graduate
0,41,3,2,4666,Unknown
0,43,3,2,14651,Doctorate
0,43,1,1,7206,Graduate
0,45,5,3,12896,High School
0,55,0,1,4726,Uneducated
0,53,2,2,7682,High School
0,49,4,1,3552,High School
0,48,2,3,4247,Post-Graduate
1,39,3,2,644,Graduate
1,41,2,3,2981,Graduate
0,50,4,3,3291,Graduate
1,39,2,3,2716,High School
0,26,0,3,3625,College
0,45,3,2,4535,Graduate
0,47,5,1,4742,Unknown
1,50,4,3,2616,High School
0,49,2,1,7734,Graduate
0,52,1,1,3332,Uneducated
0,45,4,3,1485,High School
0,48,3,1,4681,College
0,45,4,1,5127,Graduate
0,29,2,3,4702,Graduate
0,46,4,3,3784,Doctorate
0,43,3,2,1827,Uneducated
0,52,2,3,4456,Graduate
0,46,4,1,3914,Uneducated
0,38,2,2,4467,High School
1,46,2,3,2899,Unknown
0,40,2,6,4497,Unknown
0,26,0,1,2272,Unknown
0,57,0,6,1343,Graduate
0,48,2,2,1234,College
0,42,3,3,4160,High School
0,47,2,3,7432,Uneducated
0,48,3,1,1289,High School
0,41,3,1,14615,Doctorate
0,44,3,2,3495,Post-Graduate
1,39,2,3,1674,Doctorate
0,44,5,2,4396,High School
0,43,2,2,3492,Unknown
0,36,2,2,4861,Graduate
1,44,3,2,1754,Unknown
1,52,1,3,2650,Graduate
0,41,3,1,1051,Graduate
0,52,1,1,1852,Uneducated
0,26,0,2,2349,College
0,49,3,2,3213,High School
0,54,1,6,4196,Doctorate
1,43,2,3,4805,Unknown
0,36,0,3,2614,College
0,47,2,3,15473,Post-Graduate
1,44,2,2,4847,Doctorate
0,38,1,1,3691,Post-Graduate
0,40,3,1,3193,Graduate
0,47,3,3,4360,Graduate
0,53,1,2,1419,High School
0,35,4,1,2946,Uneducated
0,37,3,1,3305,Doctorate
1,40,4,2,2137,Unknown
0,30,0,2,5247,Graduate
0,59,0,2,4797,Unknown
0,49,3,1,5095,Graduate
1,53,1,3,2016,Graduate
0,47,4,2,1100,College
1,49,2,3,2394,Graduate
0,48,3,2,5372,Graduate
0,44,3,1,1264,College
0,44,2,3,4503,High School
0,46,2,3,8256,College
0,43,3,3,4853,Unknown
0,54,1,2,12592,High School
0,50,2,3,4851,Graduate
0,51,1,4,4241,High School
0,51,5,1,1679,Post-Graduate
1,53,3,2,2562,College
0,54,3,1,1935,High School
0,40,2,3,5115,Unknown
1,43,5,3,2134,Graduate
0,52,2,2,3595,High School
0,44,1,3,4509,Unknown
1,61,0,3,2860,Graduate
1,41,1,3,4399,High School
0,43,3,1,3785,Graduate
1,55,3,3,6009,Uneducated
0,48,3,3,2027,College
0,55,2,3,4271,Graduate
0,45,3,3,4327,Uneducated
1,54,3,4,2189,Post-Graduate
0,46,3,1,1264,Graduate
0,42,3,1,3934,College
0,39,2,3,1241,Uneducated
0,44,3,1,5169,Doctorate
1,39,4,2,2392,Graduate
1,46,0,3,8526,College
0,58,2,1,3790,Unknown
0,37,1,3,2660,Doctorate
0,37,2,2,2761,High School
0,42,3,3,3148,High School
0,55,2,2,4277,Unknown
0,41,4,1,1589,Graduate
0,49,2,2,4926,College
0,43,4,1,7801,High School
1,52,2,3,7886,College
1,65,0,4,2291,College
0,45,2,1,8328,Graduate
1,57,2,3,1882,Graduate
0,37,2,3,2344,High School
0,62,0,2,3066,Uneducated
0,45,2,3,2031,College
0,43,5,1,4743,Graduate
0,43,3,2,15740,Uneducated
1,62,1,5,1739,High School
0,52,4,2,5100,Uneducated
0,34,2,2,4551,High School
0,46,5,2,7936,Doctorate
0,41,3,3,7996,High School
1,43,4,3,2397,College
0,50,2,1,4220,Uneducated
0,46,3,1,3819,Graduate
0,49,1,3,4277,Graduate
1,49,5,3,1866,Uneducated
1,36,1,3,2383,Uneducated
0,50,3,1,3687,High School
1,40,3,3,2106,High School
0,34,3,3,2646,Uneducated
1,60,1,5,2251,High School
0,49,1,1,1002,Unknown
0,57,2,1,1244,Post-Graduate
0,65,0,3,4070,Unknown
0,56,0,3,14713,Graduate
0,52,2,1,4725,College
0,40,3,2,3734,Graduate
1,48,4,3,1771,Unknown
0,53,4,3,7919,High School
0,49,3,3,4316,High School
0,51,3,1,16557,Unknown
0,46,0,2,4619,Graduate
0,44,3,1,1571,College
1,43,4,3,2371,Uneducated
1,50,2,3,2297,Unknown
0,41,2,2,3216,Uneducated
0,38,2,1,1886,Graduate
0,44,4,2,7674,High School
1,48,3,2,5189,High School
1,55,2,3,7026,Graduate
0,35,1,2,4237,High School
0,39,2,1,3964,Graduate
0,33,2,2,2677,High School
0,49,1,3,4770,College
0,38,2,1,2447,Unknown
0,44,1,2,1701,Doctorate
0,52,2,3,4551,Uneducated
0,48,4,4,3577,Graduate
0,40,5,1,1471,Unknown
0,55,3,2,4873,High School
0,46,2,3,3972,Doctorate
0,40,2,2,4003,Graduate
0,60,0,1,4950,Doctorate
0,46,4,2,1278,Graduate
0,47,4,3,4422,Graduate
0,36,3,3,1897,Unknown
0,40,3,5,8097,Uneducated
0,44,3,3,15367,Graduate
0,49,4,6,3830,Graduate
0,30,1,3,1560,Graduate
0,47,2,3,13090,Uneducated
0,41,2,3,5089,Graduate
0,37,2,3,4983,Graduate
0,50,1,1,4099,Unknown
0,53,3,5,4722,Uneducated
0,43,4,2,1987,High School
0,47,4,1,3858,Graduate
0,34,1,2,12575,Unknown
0,38,2,3,1592,Uneducated
0,65,1,2,1793,Graduate
1,45,2,4,1041,College
0,52,2,3,4040,College
1,41,3,2,2003,Unknown
0,31,2,2,2221,Graduate
1,39,2,3,809,Uneducated
1,45,2,3,2469,Graduate
1,41,3,2,2077,High School
1,50,1,3,10310,Unknown
0,47,2,2,4421,Graduate
1,52,2,2,2538,Doctorate
0,45,4,3,2333,College
0,54,2,1,1454,High School
0,54,2,1,5177,Uneducated
0,42,4,1,1629,Graduate
0,42,4,2,3786,High School
1,59,0,3,1992,Graduate
0,42,5,4,4004,High School
0,27,0,2,5146,Graduate
0,45,4,1,4194,High School
0,46,3,2,7689,High School
0,42,2,3,12920,Graduate
0,40,2,1,3622,Graduate
0,52,2,1,6993,Graduate
0,49,4,2,4851,Graduate
0,39,1,2,5001,Graduate
0,56,1,1,1839,High School
0,50,2,1,5298,Graduate
0,32,0,3,1731,College
1,35,3,3,2137,Doctorate
0,55,2,2,1865,Post-Graduate
0,42,3,2,1794,Graduate
0,45,5,3,5311,Graduate
0,38,2,1,5178,Graduate
0,42,1,1,4897,College
0,40,2,1,4064,College
0,27,1,3,3563,College
0,45,5,2,5346,Unknown
0,46,2,1,4486,College
0,43,1,3,3861,Graduate
0,55,1,1,16089,Graduate
0,39,4,2,4211,Graduate
0,40,4,3,1596,Graduate
1,43,3,2,2439,Graduate
0,42,2,2,4012,Post-Graduate
0,38,2,3,4614,Unknown
0,51,3,1,4317,Graduate
1,52,1,5,2253,Graduate
0,46,3,3,3535,High School
0,58,1,3,14678,Unknown
0,39,2,2,3667,Uneducated
0,43,1,3,933,College
0,54,2,3,4981,High School
0,45,2,4,4099,Unknown
1,50,2,2,1764,Unknown
0,46,3,1,3962,Graduate
0,32,2,3,4549,Post-Graduate
1,51,2,2,2021,Doctorate
0,60,0,3,16328,Graduate
0,45,5,4,4296,Uneducated
0,46,5,3,4198,High School
0,34,2,1,2555,Graduate
0,52,1,3,4661,Graduate
0,37,0,3,2400,Post-Graduate
0,38,2,1,4690,Post-Graduate
1,40,4,3,1758,High School
0,28,0,4,4252,Unknown
1,49,3,0,1885,Post-Graduate
0,49,4,3,14261,Unknown
0,40,3,1,3432,High School
0,49,4,5,1721,Graduate
0,38,2,1,1858,Uneducated
0,38,1,3,1665,College
1,52,3,2,1821,Graduate
1,57,0,3,2477,Graduate
0,44,3,2,4149,High School
0,47,2,2,13270,Unknown
0,45,3,2,8029,High School
0,43,3,3,13179,Graduate
0,36,3,1,2683,High School
1,48,2,2,2532,Graduate
0,42,4,1,13505,Graduate
0,32,0,3,14950,College
0,44,4,2,14991,Graduate
0,47,1,3,1270,Graduate
1,40,3,3,2249,Doctorate
0,34,3,6,2251,College
0,52,1,3,4501,High School
0,38,3,3,4042,Graduate
0,42,3,5,2086,Uneducated
0,52,1,1,8226,Graduate
0,50,1,2,3769,Graduate
0,44,4,3,4779,Graduate
0,52,1,1,2848,Unknown
0,49,2,2,14276,Unknown
0,59,1,3,1809,Graduate
0,28,0,1,1813,Post-Graduate
0,56,2,3,5110,Graduate
0,37,3,2,1641,High School
1,46,4,3,2798,Graduate
1,42,1,3,2152,Uneducated
0,56,4,1,4284,Uneducated
0,59,1,2,4699,High School
0,52,2,1,5495,High School
0,43,5,5,4278,Unknown
1,51,3,3,1853,College
0,53,1,1,4940,Graduate
0,34,2,1,3161,High School
0,48,4,2,1725,Graduate
0,47,3,3,12779,Uneducated
0,45,5,3,4888,Post-Graduate
0,65,0,2,2121,High School
0,34,2,1,4530,Graduate
0,40,3,6,4290,Unknown
0,46,2,3,3687,High School
1,44,5,3,2132,Graduate
0,66,0,4,1946,High School
0,43,1,3,5100,Unknown
0,52,3,4,4417,Graduate
0,43,3,5,7279,Graduate
0,43,4,3,1285,Graduate
0,46,2,3,3457,Graduate
0,37,2,3,1744,Doctorate
1,58,0,1,992,Unknown
0,57,1,1,14651,Graduate
0,38,2,1,13041,Graduate
0,45,3,1,4730,High School
0,43,4,3,3553,Unknown
0,47,3,2,4656,College
0,42,4,2,4674,High School
0,47,2,2,2572,Unknown
0,56,2,3,13222,Unknown
0,38,3,4,13781,High School
0,40,2,2,3146,Doctorate
0,47,4,1,1581,Uneducated
0,49,4,1,4783,Graduate
0,30,0,1,5568,Unknown
0,51,1,2,3323,College
0,45,3,1,3174,Graduate
0,49,3,2,4098,Graduate
1,51,1,3,5524,High School
0,42,3,1,7613,Unknown
1,40,2,2,1993,Unknown
0,47,3,4,4028,Graduate
0,45,3,3,3914,Doctorate
0,46,4,2,1582,Graduate
0,57,3,2,1806,Doctorate
0,49,3,3,4084,High School
0,37,1,3,2774,Graduate
0,39,3,3,4347,Graduate
0,48,3,1,4445,Post-Graduate
0,50,2,3,4583,Unknown
0,35,2,1,1745,Uneducated
1,32,0,1,8363,Post-Graduate
0,60,1,5,4555,Graduate
0,37,2,1,2909,Unknown
0,50,2,1,3739,College
1,43,3,2,2646,Graduate
0,55,3,3,4564,College
0,53,1,3,1564,Graduate
0,46,3,1,7750,Uneducated
1,42,2,2,2092,Uneducated
0,58,2,2,4983,High School
0,49,3,2,1330,Uneducated
0,49,3,3,4205,Uneducated
0,59,2,3,1469,High School
0,43,3,2,14511,Unknown
0,58,2,3,1574,Graduate
0,54,3,1,4767,Graduate
0,31,0,3,2670,Graduate
0,46,3,2,13119,Doctorate
0,54,2,1,4844,Post-Graduate
0,60,0,1,1226,College
0,60,0,2,3527,Unknown
1,48,4,3,2045,Unknown
0,40,2,2,4505,Graduate
0,44,4,2,4363,Graduate
0,29,1,3,1800,Graduate
1,45,3,3,2466,Uneducated
0,55,2,3,2218,Unknown
0,39,1,2,4792,High School
0,50,2,2,4477,High School
0,63,1,1,4059,Graduate
0,40,4,1,3973,Uneducated
0,36,2,3,2624,Uneducated
0,37,2,1,3444,High School
0,48,4,1,15050,Doctorate
0,52,2,2,15281,College
0,43,4,1,1348,Unknown
0,56,2,2,5209,Graduate
0,48,4,3,1777,Unknown
0,28,1,3,2261,Unknown
1,48,3,2,2013,Graduate
0,35,2,3,2070,Uneducated
0,52,2,1,3226,Unknown
0,52,4,3,4653,Post-Graduate
1,48,3,3,2563,Graduate
0,53,3,1,4519,Graduate
0,40,3,1,1322,Uneducated
0,54,2,2,1110,Unknown
1,51,3,3,1844,Unknown
1,35,3,2,861,College
0,47,2,3,4384,High School
0,37,2,2,3000,Uneducated
0,51,0,2,4930,High School
1,43,3,3,2129,High School
0,44,3,1,4509,High School
0,61,0,1,14071,High School
0,40,2,1,2341,Unknown
0,41,2,2,3151,High School
0,49,4,3,4575,Graduate
1,48,0,3,2356,Doctorate
0,40,2,3,4220,Unknown
0,55,1,3,2148,College
0,49,3,1,1506,Uneducated
1,48,1,2,2171,Uneducated
0,44,5,3,3239,Post-Graduate
0,53,1,3,4480,Graduate
0,65,0,1,2283,College
1,26,0,2,1134,Post-Graduate
1,45,2,1,744,Graduate
1,37,3,3,2284,High School
1,45,5,2,8603,Uneducated
0,42,1,3,4154,Unknown
1,56,2,5,1865,College
0,49,4,2,2519,Graduate
0,50,1,4,3740,Uneducated
0,47,2,1,4715,Unknown
0,44,2,3,4721,Post-Graduate
0,45,3,3,15149,High School
1,46,4,3,1517,Uneducated
0,40,4,2,4439,Unknown
1,51,2,3,818,Graduate
0,47,3,1,3732,Graduate
0,48,2,2,4303,High School
0,41,4,2,4379,College
0,46,2,3,1678,High School
0,48,3,2,4236,High School
0,57,2,4,1032,Uneducated
0,38,1,2,14521,Uneducated
0,42,4,2,4240,Uneducated
0,57,3,1,4535,College
1,58,1,5,2151,Uneducated
0,56,3,2,4097,Unknown
0,58,1,1,1631,Unknown
0,49,1,2,1235,Graduate
0,37,3,3,2323,Graduate
1,51,1,3,8531,High School
0,42,3,2,3299,College
0,48,3,3,4288,College
0,57,2,5,4815,Graduate
0,41,2,2,3663,Unknown
0,38,2,3,1823,Unknown
0,41,3,2,4379,Graduate
1,47,3,2,2164,Uneducated
0,39,1,4,3875,Graduate
1,52,0,3,6574,High School
1,47,3,3,2476,Graduate
0,48,4,2,7973,Graduate
0,58,1,2,3163,Unknown
0,43,5,2,4875,High School
0,44,3,3,5495,Graduate
0,63,1,3,4527,High School
0,53,0,3,3491,Graduate
0,56,3,1,4576,Uneducated
1,46,4,2,4983,Unknown
0,44,0,1,7566,Graduate
0,52,3,1,3880,Uneducated
0,41,4,3,1723,College
0,58,0,3,5270,Graduate
0,43,3,3,13966,Graduate
0,37,1,3,4627,High School
0,43,2,3,3184,Uneducated
0,52,1,1,2048,Graduate
0,44,3,3,4173,Uneducated
0,47,3,4,3784,College
1,51,3,3,2216,Graduate
0,44,2,4,5408,Doctorate
0,40,3,2,4564,Uneducated
0,45,2,2,8202,Unknown
0,46,4,2,3691,Unknown
0,39,5,3,2062,Unknown
0,44,4,3,1198,High School
0,47,5,3,3756,Graduate
0,42,3,3,4442,High School
0,39,2,3,1860,Graduate
0,53,1,3,4341,High School
1,48,5,3,1544,Graduate
0,35,3,3,1661,Graduate
0,44,3,4,4646,Graduate
0,31,0,2,4986,High School
0,56,2,1,1478,High School
0,48,2,4,4569,Unknown
0,37,4,1,4590,High School
1,61,0,5,1821,Graduate
0,38,1,2,4401,Unknown
0,44,4,3,4228,Graduate
0,40,2,1,3652,Doctorate
0,42,3,1,1438,Graduate
0,65,1,3,1855,Graduate
0,51,3,2,1007,Unknown
0,46,5,3,4561,Uneducated
0,51,4,2,1267,High School
0,48,1,2,3395,Graduate
0,37,3,2,4621,College
0,39,1,2,1923,Uneducated
0,47,4,1,3543,Post-Graduate
0,42,3,2,1488,Graduate
0,42,4,1,15905,Uneducated
0,48,2,2,3897,Graduate
0,55,4,3,2091,Graduate
1,49,3,2,2813,High School
0,44,1,2,1424,Unknown
0,42,2,1,7168,Graduate
0,47,1,1,1477,Uneducated
0,47,2,2,4634,Post-Graduate
0,38,3,1,2876,Graduate
0,53,2,3,12025,Post-Graduate
0,41,4,3,3662,High School
0,38,3,3,1799,Graduate
0,56,2,2,1191,High School
0,51,1,1,4425,Unknown
0,28,1,3,15862,Post-Graduate
0,47,3,2,4265,College
0,44,2,2,3881,Graduate
1,46,3,3,2689,Graduate
1,53,0,1,2014,Graduate
1,30,1,3,1284,College
0,32,2,1,2580,Graduate
0,53,1,2,4464,High School
0,59,1,1,4636,High School
0,60,0,1,1821,High School
1,50,3,4,2703,Post-Graduate
0,38,2,2,2334,Graduate
0,33,3,2,4069,High School
0,35,2,2,2685,High School
0,36,3,3,16258,Graduate
0,61,0,1,1787,Graduate
0,63,1,2,1657,College
0,46,3,3,1319,High School
0,36,2,1,1670,Unknown
0,43,5,3,3789,Uneducated
0,58,2,2,1805,Uneducated
